Rank,Movie Name,Release Date,Director,Actor 1,Actor 2,No. of Votes,Rating
217,Mission: Impossible - Fallout,2018,Christopher McQuarrie, Tom Cruise, Henry Cavill,115827,8.037816765648293
218,Barry Lyndon,1975,Stanley Kubrick, Ryan O'Neal, Marisa Berenson,125353,8.035584286366896
219,The Maltese Falcon,1941,John Huston, Humphrey Bogart, Mary Astor,135284,8.034566294237312
220,"Monsters, Inc.",2001,Pete Docter, Billy Crystal, John Goodman,701876,8.033134272405801
221,The Grapes of Wrath,1940,John Ford, Henry Fonda, Jane Darwell,77787,8.032851670540039
222,Blade Runner 2049,2017,Denis Villeneuve, Harrison Ford, Ryan Gosling,327385,8.029652270528393
223,Les diaboliques,1955,Henri-Georges Clouzot, Simone Signoret, Véra Clouzot,53757,8.025889556251883
224,Donnie Darko,2001,Richard Kelly, Jake Gyllenhaal, Jena Malone,673469,8.025859661422784
225,La La Land,2016,Damien Chazelle, Ryan Gosling, Emma Stone,390663,8.0254816961982
226,Gandhi,1982,Richard Attenborough, Ben Kingsley, John Gielgud,200510,8.023883691738225
227,The Terminator,1984,James Cameron, Arnold Schwarzenegger, Linda Hamilton,697876,8.023277731715469
228,Le notti di Cabiria,1957,Federico Fellini, Giulietta Masina, François Périer,36655,8.023057856844815
229,Dead Poets Society,1989,Peter Weir, Robin Williams, Robert Sean Leonard,343210,8.021456570925531
230,La haine,1995,Mathieu Kassovitz, Vincent Cassel, Hubert Koundé,126300,8.020043245183418
231,Groundhog Day,1993,Harold Ramis, Bill Murray, Andie MacDowell,518601,8.01955351716431
232,The Wizard of Oz,1939,Victor Fleming, Judy Garland, Frank Morgan,338233,8.01856483443664
233,Paper Moon,1973,Peter Bogdanovich, Ryan O'Neal, Tatum O'Neal,35120,8.017745963368547
234,A Wednesday,2008,Neeraj Pandey, Anupam Kher, Naseeruddin Shah,64693,8.017607233671685
235,Jaws,1975,Steven Spielberg, Roy Scheider, Robert Shaw,488727,8.01642796550098
236,The Help,2011,Tate Taylor, Emma Stone, Viola Davis,376422,8.014790222802482
237,Faa yeung nin wa,2000,Kar-Wai Wong, Tony Chiu-Wai Leung, Maggie Cheung,98967,8.014574572784204
238,Gangs of Wasseypur,2012,Anurag Kashyap, Manoj Bajpayee, Richa Chadha,64173,8.014052721369907
239,Before Sunset,2004,Richard Linklater, Ethan Hawke, Julie Delpy,197675,8.012172625722826
240,The Bourne Ultimatum,2007,Paul Greengrass, Matt Damon, Edgar Ramírez,566464,8.012134293824138
241,Touch of Evil,1958,Orson Welles, Charlton Heston, Orson Welles,88568,8.011406136998177
242,"Paris, Texas",1984,Wim Wenders, Harry Dean Stanton, Nastassja Kinski,68866,8.011070941641837
243,Mandariinid,2013,Zaza Urushadze, Lembit Ulfsak, Elmo Nüganen,29517,8.0104642715494
244,Guardians of the Galaxy,2014,James Gunn, Chris Pratt, Vin Diesel,870815,8.010367227857481
245,8½,1963,Federico Fellini, Marcello Mastroianni, Anouk Aimée,95765,8.010208865560353
246,Ah-ga-ssi,2016,Chan-wook Park, Min-hee Kim, Jung-woo Ha,65789,8.009956722997341
247,The Best Years of Our Lives,1946,William Wyler, Myrna Loy, Dana Andrews,51002,8.009929789112356
248,Dog Day Afternoon,1975,Sidney Lumet, Al Pacino, John Cazale,211678,8.009433877079328
249,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski, Johnny Depp, Geoffrey Rush,930700,8.00942680308368
250,Beauty and the Beast,1991,Gary Trousdale, Paige O'Hara, Robby Benson,372798,8.009396313564677
